input_0,input_1,input_2,input_3,input_4,input_5,input_6,input_7,input_8,act_1_act1_0,act_1_act1_1,act_1_act1_2,act_1_act1_3,act_1_act1_4,act_1_act1_5,act_1_act1_6,act_1_act1_7,act_1_act1_8,act_1_act1_9,act_1_act1_10,act_1_act1_11,act_1_act1_12,act_1_act1_13,act_1_act1_14,act_1_act1_15,act_1_act1_16,act_1_act1_17,act_1_act1_18,act_1_act1_19,act_1_act1_20,act_1_act1_21,act_1_act1_22,act_1_act1_23,act_1_act1_24,act_1_act1_25,act_1_act1_26,act_1_act1_27,act_1_act1_28,act_1_act1_29,act_1_act1_30,act_1_act1_31,act_2_act2_0,act_2_act2_1,act_2_act2_2,act_2_act2_3,act_2_act2_4,act_2_act2_5,act_2_act2_6,act_2_act2_7,act_2_act2_8,act_2_act2_9,act_2_act2_10,act_2_act2_11,act_2_act2_12,act_2_act2_13,act_2_act2_14,act_2_act2_15,act_2_act2_16,act_2_act2_17,act_2_act2_18,act_2_act2_19,act_2_act2_20,act_2_act2_21,act_2_act2_22,act_2_act2_23,act_2_act2_24,act_2_act2_25,act_2_act2_26,act_2_act2_27,act_2_act2_28,act_2_act2_29,act_2_act2_30,act_2_act2_31,output_0,output_1,output_2
-1.0421939,-0.10358427,-1.5344557,-0.40647382,0.9275069,0.5404681,-2.6392322,-0.22260936,0.94203126,0.0,0.25787646,0.53181136,0.40876824,0.0,0.0,0.25177437,0.0,1.1907468,0.84520555,0.0,0.0,0.0,0.0,1.0906107,0.0,0.80223364,0.0,0.2678032,0.0,0.0,0.12391915,0.8001457,0.26805174,0.14167239,0.59091544,1.3655031,1.5319085,0.3960895,0.0,0.0,0.0,0.16635562,0.0,0.0,0.0,0.86197925,0.17680272,0.61663187,0.5456636,0.9303278,0.15854257,0.0,0.6954272,0.10547151,0.0,0.1053803,0.28029406,0.5912147,0.0,0.0,0.7987237,0.034728833,0.41469038,0.0,0.36561987,0.5192235,0.0,0.5877655,0.2851908,0.42994726,0.0,1.4334104,0.0,0.011028923,0.28712633,-0.8010523
0.74238396,-0.053425863,-0.21632402,1.0947609,-0.94193065,-2.5481966,0.18619493,-0.043340866,-1.2938585,0.3935144,0.14745052,0.0,0.0,0.0,0.0,0.25941706,1.1197609,0.7401751,0.6902992,0.0,0.0,1.6295292,0.0,0.0,0.0,0.4947929,0.13567373,0.0,0.058686763,0.0,0.0,0.0,0.14921953,0.0,0.0,0.0,0.0,0.0,0.17240945,1.5249895,0.959635,0.6979151,0.3024862,0.25340262,0.45192108,0.07802719,0.7914858,0.12241564,0.0,0.19750342,0.7420633,0.44798952,0.550688,0.0,0.0,0.83192044,0.0,0.098019704,0.0,0.0,0.10877517,0.43413514,0.16754524,0.0,0.0,0.6748095,0.0,0.0,0.25353885,0.09508034,0.0,0.5041059,0.34901652,0.2683647,0.04264304,0.86800414
-1.9242115,-0.7942599,-2.735086,-0.1990541,-0.3579519,-0.46261045,-1.0553858,1.1317745,0.17863946,0.0,1.4154172,1.3701477,0.4153595,0.0,0.0,1.5149906,0.085453525,1.0423082,1.0229584,0.0,0.0,0.8495691,0.24319561,0.43380803,0.5177442,0.95989513,0.0,0.0,0.0,0.0,0.0,1.1112596,0.0,0.0,0.33292446,0.4470786,0.91691285,0.5902395,0.58343405,0.0,1.3962492,0.50977314,0.0,0.26397148,0.0,0.59238994,0.7673761,0.9044002,0.0,1.2806679,0.68621904,0.14053328,0.7733406,0.20132078,0.0,0.6026954,0.0,1.0971777,0.0,0.0,0.93465006,0.21480924,0.0,0.0,0.22348714,1.2931839,0.20146069,0.0,0.6344961,1.003485,0.0,1.3947523,0.0,0.48934177,1.0331275,0.08737894
-1.0843447,-0.06768246,0.5203318,-0.87909174,0.7328739,-0.12105269,-0.4764633,0.3622152,0.7251929,0.09159104,0.5074989,0.13510308,0.0,0.56571615,0.2635071,0.13447732,0.0,0.15845725,0.0,0.0,0.60385215,0.0,0.0,0.5859159,0.0,0.717628,0.0,0.12876092,0.48665437,0.0,0.0,0.0,0.0,0.0,0.71876955,0.9296952,0.82754815,0.7736633,0.7456638,0.0,0.0,0.40481785,0.07732254,0.09143996,0.0,0.95416707,0.0,0.0,0.33998498,0.38312462,0.15774876,0.0,0.0,0.0,0.0,0.23239206,0.253433,0.25446197,0.0,0.10935022,0.65170914,0.3849427,0.14239042,0.0,0.23406294,0.28531513,0.0,0.44977367,0.019466221,0.1400021,0.0,1.3239565,0.25444907,0.35116002,-0.16683188,-0.6844534
-0.46609893,0.3346689,-0.8950765,-1.1620681,0.37697378,0.49892157,-0.11066966,0.38952237,1.3203794,0.0,0.26543716,0.4358063,0.08869292,0.0,0.0,0.1263366,0.0,0.55309796,0.07016966,0.0,0.39619988,0.0,0.0,1.042743,0.2640256,0.43643942,0.0,0.0,0.02224207,0.0,0.29994565,0.0,0.11487338,0.0,0.58363646,0.89166516,0.49984267,1.1653365,0.2282776,0.0,0.5152828,0.0,0.0,0.020895746,0.0,0.46032017,0.0,0.21747607,0.23011622,0.8456581,0.24380833,0.0,0.3766317,0.111400895,0.0,0.07599133,0.3969698,0.5742421,0.0,0.011971325,0.8568811,0.0,0.0466801,0.0,0.42486152,0.18036488,0.0,0.39506677,0.080750704,0.43914622,0.0,1.0477811,0.01832695,0.060409106,0.41405082,-0.7564441
-0.37318853,-0.9103814,-0.4802552,0.7008651,0.92655516,-0.268511,0.6446197,-0.235974,0.20212123,0.0,0.3657656,0.07056832,0.0,0.2987017,0.0,0.37856507,0.07234129,0.09040724,0.7812928,0.0,0.11557461,0.6946584,0.11432547,0.6530255,0.43052605,1.0928196,0.0,0.0,0.0,0.0,0.027739465,0.10359231,0.17124179,0.0,0.26943067,0.0,0.20775127,0.5051254,0.46140677,0.0,0.0,0.2918899,0.0,0.0,0.0,0.677649,0.26280105,0.21852794,0.18974224,0.5624408,0.21972379,0.0,0.22040172,0.0,0.0,0.06763403,0.106447816,0.13015626,0.0,0.042306382,0.42144808,0.17919168,0.11587076,0.0,0.34279132,0.47855878,0.0,0.02263612,0.13788763,0.20740224,0.0,1.0292395,0.006625887,0.22567627,0.1711652,-0.40446585
2.684381,2.5405908,-2.7733018,-1.5981603,0.055481486,-0.68411696,-0.05594614,-0.4281994,-0.78443635,0.0,0.0,0.6215086,0.0211171,0.0,0.0,0.0,0.0,2.7783608,0.37003464,0.07898831,0.0,0.5931754,0.0,1.1820269,0.0993212,0.0,0.0,0.27524197,0.20669846,0.63650393,0.30640507,0.46293294,1.6188837,0.0,0.0,0.0,0.0,0.15481149,0.0,0.25939867,1.1898359,0.16429731,0.0,0.0,0.39934668,0.0,0.38644725,1.083178,0.26908398,1.0671879,0.76205486,0.6439147,0.84652877,0.124036,0.0,0.05122391,0.4282294,0.33059075,0.0,0.0,0.27795514,0.2929074,0.5885318,0.0,0.081575766,0.64794993,0.0,0.21150388,0.0,1.004723,0.0,0.2154398,0.1517798,-0.5357114,0.717426,0.34654722
-0.36305058,0.54715466,0.36360803,-0.43348724,1.0681443,-0.62088823,-0.8820844,0.95311385,-0.77174395,0.03542839,0.49712208,0.043059908,0.0,0.41022065,0.16718632,0.0,0.44015807,1.0929184,0.21232541,0.0,0.0,0.065324605,0.0,0.0993371,0.0,0.13302624,0.13306232,0.36821377,0.5777346,0.0,0.082263775,0.0,0.17596793,0.09709823,0.617095,0.0,0.13229702,0.14182617,0.35474902,0.5925837,0.0,0.29473615,0.13784245,0.12796842,0.0,0.28224993,0.058400534,0.0,0.052053787,0.25691333,0.25638795,0.17887793,0.11437125,0.0,0.0,0.1273495,0.17146012,0.0,0.020828985,0.0,0.12938792,0.2845356,0.223364,0.0,0.12262933,0.44132102,0.0,0.116795555,0.0,0.20343593,0.0,0.6135944,0.43877542,0.19206443,0.04810317,-0.030185498
-1.1748731,-0.6707969,1.0607462,-0.5408505,0.19630976,0.9221797,-1.5422432,-0.30378297,1.506343,0.19532585,0.0,0.0,0.45540833,0.23101819,0.30419,0.0,0.0,0.0,0.0,0.0,0.69015723,0.0,0.028054759,0.57485986,0.0,0.734992,0.08827917,0.014949009,0.49569505,0.30313942,0.1058299,0.0,0.0,0.07303691,0.59557617,1.5825186,1.44325,0.4157667,0.38384724,0.0,0.0,0.65309954,0.17828009,0.10476716,0.0,1.0319895,0.022774441,0.012423027,0.73192704,0.2982371,0.14678648,0.0,0.36226028,0.17608233,0.0,0.47874805,0.2602638,0.3163693,0.0,0.0,0.62176615,0.38435248,0.5237695,0.0,0.3453859,0.1661464,0.0,0.81551355,0.12088913,0.010332916,0.0,1.3541553,0.15170783,0.17564783,-0.47394186,-0.66932523
-0.26060662,1.5613819,-1.462781,1.1149788,0.94906694,0.8877917,0.8829093,0.19803362,0.17161962,0.0,0.17676893,0.0,0.0,0.0,0.0,0.024513438,0.0,0.4979912,0.64075106,0.0,0.32850182,0.20998323,0.5617047,1.0657611,0.64412767,0.73444664,0.110408254,0.0,0.0,0.0,0.8014053,0.6204028,0.6527389,0.0,0.0,0.0,0.0,0.917832,0.0,0.0,0.7093468,0.0,0.0,0.0,0.042985573,0.31872383,0.18188973,0.48022017,0.32870907,1.1642534,0.21616937,0.0,0.59127915,0.0,0.0,0.0,0.41353214,0.5563376,0.0,0.032536805,0.56138164,0.0528842,0.19130535,0.0,0.49300274,0.23845547,0.0,0.25708187,0.10613534,0.7077812,0.0,0.8003528,0.0,-0.1648022,0.54741067,-0.60864604
